row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3	ModePrior_4	MAP_4	MaxL_4	MeanPost_4	VarPost_4	CVPost_4	MinPost_4	MaxPost_4	ModePrior_5	MAP_5	MaxL_5	MeanPost_5	VarPost_5	CVPost_5	MinPost_5	MaxPost_5	ModePrior_6	MAP_6	MaxL_6	MeanPost_6	VarPost_6	CVPost_6	MinPost_6	MaxPost_6	ModePrior_7	MAP_7	MaxL_7	MeanPost_7	VarPost_7	CVPost_7	MinPost_7	MaxPost_7	ModePrior_8	MAP_8	MaxL_8	MeanPost_8	VarPost_8	CVPost_8	MinPost_8	MaxPost_8	ModePrior_9	MAP_9	MaxL_9	MeanPost_9	VarPost_9	CVPost_9	MinPost_9	MaxPost_9
<<<<<<< HEAD
LOG10CLVI	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446	2	1.846	1.875	1.955	0.04519	0.1088	1.495	2.446
=======
LOG10CLVI	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494	2	2.101	2.083	2.135	0.02238	0.07006	1.335	2.494
>>>>>>> 25c54c00dd351244dc1a5d22735b73fda6becad6
LOG10CRESI	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5
LOG10CRTI	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5
CSTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG10LAII	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5
PHENI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
<<<<<<< HEAD
TILTOTI	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809	4000	4656	4410	4780	2255000	0.3142	1209	7809
FRTILGI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054
COCRESMX	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999
CSTAVM	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893
