row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
LOG10CLVI	1.5	1.527	1.536	1.463	0.05492	0.1601	1.004	2	1.5	1.527	1.536	1.463	0.05492	0.1601	1.004	2	1.5	1.527	1.536	1.463	0.05492	0.1601	1.004	2
LOG10CRESI	0.5	0.4754	0.3966	0.497	0.05116	0.4551	0.003158	0.9985	0.5	0.4754	0.3966	0.497	0.05116	0.4551	0.003158	0.9985	0.5	0.4754	0.3966	0.497	0.05116	0.4551	0.003158	0.9985
LOG10CRTI	2	2.189	2.125	1.906	0.101	0.1668	1.004	2.498	2	2.189	2.125	1.906	0.101	0.1668	1.004	2.498	2	2.189	2.125	1.906	0.101	0.1668	1.004	2.498
CSTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG10LAII	-0.5	-0.5703	-0.6417	-0.4879	0.04881	0.4528	-0.9955	-0.002321	-0.5	-0.5703	-0.6417	-0.4879	0.04881	0.4528	-0.9955	-0.002321	-0.5	-0.5703	-0.6417	-0.4879	0.04881	0.4528	-0.9955	-0.002321
PHENI	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TILTOTI	4000	3046	2068	4118	2436000	0.379	1007	7978	4000	3046	2068	4118	2436000	0.379	1007	7978	4000	3046	2068	4118	2436000	0.379	1007	7978
FRTILGI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	1	2.08	2.212	1.658	0.09258	0.1835	0.5207	2.486	1	2.08	2.212	1.658	0.09258	0.1835	0.5207	2.486	1	2.08	2.212	1.658	0.09258	0.1835	0.5207	2.486
COCRESMX	0.275	0.2849	0.2957	0.2183	0.002486	0.2284	0.05766	0.2999	0.275	0.2849	0.2957	0.2183	0.002486	0.2284	0.05766	0.2999	0.275	0.2849	0.2957	0.2183	0.002486	0.2284	0.05766	0.2999
CSTAVM	0.1	0.1687	0.1916	0.106	0.001372	0.3494	0.02534	0.1997	0.1	0.1687	0.1916	0.106	0.001372	0.3494	0.02534	0.1997	0.1	0.1687	0.1916	0.106	0.001372	0.3494	0.02534	0.1997
DAYLB	0.45	0.4399	0.4314	0.4497	0.000281	0.03728	0.4201	0.4995	0.45	0.4399	0.4314	0.4497	0.000281	0.03728	0.4201	0.4995	0.45	0.4399	0.4314	0.4497	0.000281	0.03728	0.4201	0.4995
DAYLP	0.55	0.5342	0.5478	0.5116	0.002432	0.09639	0.3924	0.6082	0.55	0.5342	0.5478	0.5116	0.002432	0.09639	0.3924	0.6082	0.55	0.5342	0.5478	0.5116	0.002432	0.09639	0.3924	0.6082
DLMXGE	0.6	0.5852	0.5851	0.5802	0.0002289	0.02608	0.5404	0.6091	0.6	0.5852	0.5851	0.5802	0.0002289	0.02608	0.5404	0.6091	0.6	0.5852	0.5851	0.5802	0.0002289	0.02608	0.5404	0.6091
FSLAMIN	0.5	0.5456	0.5664	0.5547	0.007157	0.1525	0.3069	0.862	0.5	0.5456	0.5664	0.5547	0.007157	0.1525	0.3069	0.862	0.5	0.5456	0.5664	0.5547	0.007157	0.1525	0.3069	0.862
FSMAX	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693
HAGERE	0.8	0.706	0.7119	0.7716	0.004995	0.09159	0.6005	0.8999	0.8	0.706	0.7119	0.7716	0.004995	0.09159	0.6005	0.8999	0.8	0.706	0.7119	0.7716	0.004995	0.09159	0.6005	0.8999
KLAI	0.6	0.5411	0.5314	0.6103	0.009768	0.1619	0.3089	0.8816	0.6	0.5411	0.5314	0.6103	0.009768	0.1619	0.3089	0.8816	0.6	0.5411	0.5314	0.6103	0.009768	0.1619	0.3089	0.8816
