row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
LOG10CLVI	1.5	1.571	1.433	1.511	0.02865	0.112	1.086	1.94	1.5	1.571	1.433	1.511	0.02865	0.112	1.086	1.94	1.5	1.571	1.433	1.511	0.02865	0.112	1.086	1.94
LOG10CRESI	0.5	0.5778	0.2179	0.4844	0.02598	0.3327	0.03342	0.9097	0.5	0.5778	0.2179	0.4844	0.02598	0.3327	0.03342	0.9097	0.5	0.5778	0.2179	0.4844	0.02598	0.3327	0.03342	0.9097
LOG10CRTI	1.5	1.81	2.01	1.58	0.06371	0.1597	1.012	2.3	1.5	1.81	2.01	1.58	0.06371	0.1597	1.012	2.3	1.5	1.81	2.01	1.58	0.06371	0.1597	1.012	2.3
CSTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG10LAII	-0.5	-0.4	-0.6277	-0.5229	0.02904	0.3258	-0.9842	-0.03907	-0.5	-0.4	-0.6277	-0.5229	0.02904	0.3258	-0.9842	-0.03907	-0.5	-0.4	-0.6277	-0.5229	0.02904	0.3258	-0.9842	-0.03907
PHENI	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TILTOTI	4000	5630	1290	3693	1764000	0.3597	1035	7912	4000	5630	1290	3693	1764000	0.3597	1035	7912	4000	5630	1290	3693	1764000	0.3597	1035	7912
FRTILGI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	1	1.166	0.9044	0.9649	0.07366	0.2813	0.2671	1.853	1	1.166	0.9044	0.9649	0.07366	0.2813	0.2671	1.853	1	1.166	0.9044	0.9649	0.07366	0.2813	0.2671	1.853
COCRESMX	0.275	0.2683	0.27	0.2413	0.001191	0.143	0.133	0.2993	0.275	0.2683	0.27	0.2413	0.001191	0.143	0.133	0.2993	0.275	0.2683	0.27	0.2413	0.001191	0.143	0.133	0.2993
