row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
LOG10CLVI	1.5	1.4	1.168	1.473	0.02299	0.103	1.116	1.918	1.5	1.4	1.168	1.473	0.02299	0.103	1.116	1.918	1.5	1.4	1.168	1.473	0.02299	0.103	1.116	1.918
LOG10CRESI	0.5	0.4159	0.738	0.459	0.01671	0.2816	0.1033	0.8909	0.5	0.4159	0.738	0.459	0.01671	0.2816	0.1033	0.8909	0.5	0.4159	0.738	0.459	0.01671	0.2816	0.1033	0.8909
LOG10CRTI	1.5	1.648	1.469	1.525	0.01263	0.07371	1.168	1.931	1.5	1.648	1.469	1.525	0.01263	0.07371	1.168	1.931	1.5	1.648	1.469	1.525	0.01263	0.07371	1.168	1.931
CSTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG10LAII	-0.5	-0.4709	-0.2976	-0.5072	0.03089	0.3465	-0.9932	-0.04727	-0.5	-0.4709	-0.2976	-0.5072	0.03089	0.3465	-0.9932	-0.04727	-0.5	-0.4709	-0.2976	-0.5072	0.03089	0.3465	-0.9932	-0.04727
PHENI	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TILTOTI	4000	5863	2655	4498	1580000	0.2795	1871	7316	4000	5863	2655	4498	1580000	0.2795	1871	7316	4000	5863	2655	4498	1580000	0.2795	1871	7316
FRTILGI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	1	1.009	1.109	1.09	0.05564	0.2164	0.5647	1.965	1	1.009	1.109	1.09	0.05564	0.2164	0.5647	1.965	1	1.009	1.109	1.09	0.05564	0.2164	0.5647	1.965
COCRESMX	0.275	0.2645	0.2746	0.2426	0.0008663	0.1213	0.1553	0.2998	0.275	0.2645	0.2746	0.2426	0.0008663	0.1213	0.1553	0.2998	0.275	0.2645	0.2746	0.2426	0.0008663	0.1213	0.1553	0.2998
CSTAVM	0.1	0.0493	0.09035	0.08829	0.0006146	0.2808	0.03362	0.1699	0.1	0.0493	0.09035	0.08829	0.0006146	0.2808	0.03362	0.1699	0.1	0.0493	0.09035	0.08829	0.0006146	0.2808	0.03362	0.1699
DAYLB	0.4	0.4531	0.4393	0.4446	0.000873	0.06646	0.3162	0.4979	0.4	0.4531	0.4393	0.4446	0.000873	0.06646	0.3162	0.4979	0.4	0.4531	0.4393	0.4446	0.000873	0.06646	0.3162	0.4979
DAYLP	0.55	0.6203	0.7256	0.6581	0.005001	0.1075	0.5025	0.8734	0.55	0.6203	0.7256	0.6581	0.005001	0.1075	0.5025	0.8734	0.55	0.6203	0.7256	0.6581	0.005001	0.1075	0.5025	0.8734
DLMXGE	0.6	0.6472	0.6225	0.6229	0.0004886	0.03549	0.5568	0.6785	0.6	0.6472	0.6225	0.6229	0.0004886	0.03549	0.5568	0.6785	0.6	0.6472	0.6225	0.6229	0.0004886	0.03549	0.5568	0.6785
FSLAMIN	0.5	0.6491	0.6808	0.5945	0.008177	0.1521	0.4151	0.8912	0.5	0.6491	0.6808	0.5945	0.008177	0.1521	0.4151	0.8912	0.5	0.6491	0.6808	0.5945	0.008177	0.1521	0.4151	0.8912
FSMAX	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693
HAGERE	0.8	0.8016	0.7974	0.7588	0.002952	0.07159	0.6053	0.8839	0.8	0.8016	0.7974	0.7588	0.002952	0.07159	0.6053	0.8839	0.8	0.8016	0.7974	0.7588	0.002952	0.07159	0.6053	0.8839
KLAI	0.6	0.5811	0.6316	0.5823	0.01393	0.2027	0.3434	0.876	0.6	0.5811	0.6316	0.5823	0.01393	0.2027	0.3434	0.876	0.6	0.5811	0.6316	0.5823	0.01393	0.2027	0.3434	0.876
LAICR	2.5	2.691	2.712	2.548	0.04862	0.08652	2.05	3.055	2.5	2.691	2.712	2.548	0.04862	0.08652	2.05	3.055	2.5	2.691	2.712	2.548	0.04862	0.08652	2.05	3.055
