									EVAP			
	TEMP	TEMP	SOLAR		WIND		RAIN	EVAP	Priestley	EVAP		
DATE	Max	Min	Radn	SUN	Run	RAIN	period	Penman	Taylor	Open-water		
 	degC	degC	Mj/m2	hrs	km	mm	hrs	mm	mm	mm		
--------	------	------	------	--------	------	-------	------	------	--------	----------		
01/01/2010	22.7	11	31.4	0	3.2	0	0	0	6.133	0	0	FALSE
02/01/2010	22.7	8.9	30.1	0	3.1	0	0	0	5.735	0	0	FALSE
03/01/2010	24	11.7	21.1	0	2.3	3.4	0	0	4.035	0	0	FALSE
04/01/2010	22.3	17	20.2	0	5	0	0	0	3.976	0	0	FALSE
05/01/2010	22.1	11.3	30.9	0	3.1	0	0	0	6.009	0	0	FALSE
06/01/2010	24.9	5.8	30.3	0	1.7	0	0	0	5.724	0	0	FALSE
07/01/2010	23.9	11.3	22.6	0	2.3	0	0	0	4.337	0	0	FALSE
08/01/2010	21.3	11.8	22.4	0	3.2	0	0	0	4.205	0	0	FALSE
09/01/2010	23.4	6.2	32.3	0	2.5	0	0	0	6.064	0	0	FALSE
10/01/2010	22	5.5	26.1	0	1.9	9.1	0	0	4.703	0	0	FALSE
11/01/2010	19.7	12.8	27.7	0	3.6	0	0	0	5.287	0	0	FALSE
12/01/2010	22.4	8.6	25.6	0	1.7	1.3	0	0	4.775	0	0	FALSE
13/01/2010	20.6	10	15	0	2.6	0	0	0	2.584	0	0	FALSE
14/01/2010	25.2	8.8	30.6	0	1.8	0	0	0	5.982	0	0	FALSE
15/01/2010	25.8	10.6	22.7	0	2.4	0	0	0	4.41	0	0	FALSE
16/01/2010	25.2	15.9	19.7	0	2.3	0	0	0	3.93	0	0	FALSE
17/01/2010	24.4	14.9	17.6	0	1.8	4.5	0	0	3.396	0	0	FALSE
18/01/2010	21.8	15.2	12.2	0	1.5	2.3	0	0	2.143	0	0	FALSE
19/01/2010	27.4	15.9	25.4	0	1.7	0	0	0	5.331	0	0	FALSE
20/01/2010	25.8	14.2	20.6	0	2.9	11.5	0	0	4.092	0	0	FALSE
21/01/2010	24.6	18.1	14.6	0	2.4	25	0	0	2.814	0	0	FALSE
22/01/2010	21.7	16.1	24	0	4.5	0	0	0	4.756	0	0	FALSE
23/01/2010	23.2	15.9	20.8	0	4	0	0	0	4.102	0	0	FALSE
24/01/2010	21.3	12.9	15.3	0	3	0	0	0	2.743	0	0	FALSE
25/01/2010	27.3	11.9	25.5	0	1.6	0	0	0	5.154	0	0	FALSE
26/01/2010	26.6	17.1	21.2	0	2.2	20	0	0	4.374	0	0	FALSE
27/01/2010	26.4	13.5	24.8	0	1.6	12.5	0	0	5.031	0	0	FALSE
28/01/2010	27.1	13.7	28	0	1.5	0	0	0	5.798	0	0	FALSE
29/01/2010	26	15.3	26.9	0	2	0	0	0	5.575	0	0	FALSE
30/01/2010	26.4	14.9	21.8	0	2	2.2	0	0	4.415	0	0	FALSE
31/01/2010	21.4	17.5	3.8	0	3.5	53.2	0	0	0.315	0	0	FALSE
01/02/2010	25.6	17.4	16.3	0	4.1	0	0	0	3.214	0	0	FALSE
02/02/2010	26.5	18.4	20.3	0	2.9	0	0	0	4.21	0	0	FALSE
03/02/2010	25	15.9	24.6	0	2.3	0	0	0	5.033	0	0	FALSE
04/02/2010	25.3	15.1	25.6	0	1.9	0	0	0	5.235	0	0	FALSE
05/02/2010	25.4	16.6	19	0	1.7	0	0	0	3.803	0	0	FALSE
06/02/2010	26.1	17.7	17	0	1.6	0	0	0	3.401	0	0	FALSE
07/02/2010	25.8	15.7	23.3	0	1.7	0	0	0	4.765	0	0	FALSE
08/02/2010	26.4	14	19.4	0	1.4	5.3	0	0	3.837	0	0	FALSE
09/02/2010	25.2	16.4	23.6	0	2.4	0	0	0	4.838	0	0	FALSE
10/02/2010	22.2	15.1	22.1	0	2.9	0	0	0	4.317	0	0	FALSE
11/02/2010	24.3	14.8	18.9	0	1.9	0	0	0	3.679	0	0	FALSE
12/02/2010	25	13.1	17.3	0	2.1	7.7	0	0	3.291	0	0	FALSE
13/02/2010	24.1	17.7	19.7	0	3.1	2.7	0	0	3.956	0	0	FALSE
14/02/2010	24.5	19.1	20.6	0	3.1	0	0	0	4.23	0	0	FALSE
15/02/2010	24.2	16.9	11	0	1.9	0	0	0	1.955	0	0	FALSE
16/02/2010	23	17	11.7	0	1.5	0	0	0	2.093	0	0	FALSE
17/02/2010	26.2	17.4	11.3	0	1	0	0	0	2.07	0	0	FALSE
18/02/2010	25.1	18.5	10.5	0	1.2	0	0	0	1.885	0	0	FALSE
19/02/2010	24.5	16.2	26.4	0	3.6	0	0	0	5.431	0	0	FALSE
20/02/2010	24.1	9.7	24.3	0	1.8	0	0	0	4.637	0	0	FALSE
21/02/2010	25.3	8.3	22.9	0	1.4	0	0	0	4.332	0	0	FALSE
22/02/2010	27.1	10.9	24.7	0	1.2	0	0	0	4.919	0	0	FALSE
23/02/2010	24.7	15.4	16.8	0	1.9	0	0	0	3.241	0	0	FALSE
24/02/2010	26.2	17	19.5	0	2.1	0	0	0	3.961	0	0	FALSE
25/02/2010	23.8	17.8	13	0	2.4	7.2	0	0	2.421	0	0	FALSE
26/02/2010	25.3	12.5	21.2	0	1.4	0	0	0	4.14	0	0	FALSE
27/02/2010	25.9	12	24.1	0	1.6	0	0	0	4.782	0	0	FALSE
28/02/2010	25.7	12.4	22.1	0	1.1	0	0	0	4.35	0	0	FALSE
