row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1
LOG10CLVI	1.5	1.391	1.757	1.592	0.02565	0.1006	1.115	1.972
LOG10CRESI	0.5	0.5	0.5	0.5	0	0	0.5	0.5
LOG10CRTI	1.5	1.5	1.5	1.5	0	0	1.5	1.5
CSTI	0	0	0	0	0	0	0	0
LOG10LAII	0.5	0.5	0.5	0.5	0	0	0.5	0.5
PHENI	0	0	0	0	0	0	0	0
TILTOTI	5000	4709	5572	5051	648000	0.1594	3063	7727
FRTILGI	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054
COCRESMX	0.275	0.2699	0.3151	0.2549	0.001822	0.1675	0.1142	0.3483
CSTAVM	0.1	0.09896	0.133	0.105	0.0007912	0.268	0.02962	0.1896
DAYLB	0.4	0.4555	0.5151	0.4681	0.004588	0.1447	0.2169	0.5992
DAYLP	0.55	0.4384	0.513	0.5888	0.007622	0.1483	0.404	0.864
DLMXGE	0.6	0.6467	0.8202	0.7174	0.008151	0.1258	0.4094	0.9599
FSLAMIN	0.5	0.6366	0.6411	0.6243	0.005939	0.1234	0.4071	0.8366
FSMAX	0.7	0.689	0.7461	0.6929	0.001043	0.04661	0.6051	0.7949
HAGERE	0.8	0.7872	0.8656	0.7828	0.002445	0.06316	0.6455	0.8968
KLAI	0.6	0.6126	0.4168	0.6249	0.01059	0.1647	0.3157	0.8843
LAICR	4	3.078	2.637	2.909	0.1489	0.1327	2.099	4.591
LAIEFT	0.183	0.3132	0.2914	0.2443	0.003834	0.2535	0.06511	0.39
LAITIL	0.867	0.7628	0.7936	0.7851	0.007179	0.1079	0.5357	0.9984
LFWIDG	0.003	0.002682	0.003655	0.003719	1.045e-06	0.2748	0.002012	0.007539
LFWIDV	0.003	0.002689	0.003208	0.002992	1.503e-07	0.1296	0.002084	0.004377
NELLVM	1.3	1.3	1.3	1.3	0	0	1.3	1.3
PHENCR	0.6	0.5364	0.6912	0.5811	0.01979	0.2421	0.2126	0.9758
PHY	100	108.3	87.53	103.6	157.9	0.1213	62.86	129.7
RDRSCO	0.03	0.04687	0.08022	0.06489	0.0003822	0.3013	0.01635	0.1286
RDRSMX	0.04	0.03947	0.09929	0.0565	0.0004633	0.381	0.009964	0.1245
RDRTEM	0.0015	0.001112	0.001084	0.001009	7.832e-08	0.2773	0.0002566	0.001813
RGENMX	0.01	0.009167	0.005992	0.009443	9.217e-06	0.3215	0.002202	0.01922
ROOTDM	0.2	0.3029	0.4243	0.3019	0.005558	0.2469	0.1155	0.5461
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	2.606	3.256	3.267	0.6419	0.2452	1.634	7.339
LSHAPE	0.6	0.6	0.6	0.6	0	0	0.6	0.6
SIMAX1T	0.004	0.003411	0.004121	0.00404	4.31e-07	0.1625	0.002196	0.005689
SLAMAX	0.03	0.04023	0.04226	0.04018	1.126e-05	0.08354	0.03024	0.04864
TBASE	4.5	3.046	4.532	4.379	0.3648	0.1379	2.13	5.901
TCRES	2	1.796	2.427	2.08	0.1072	0.1574	1.503	3.586
TOPTGE	22	20.3	19.32	21.32	13.12	0.1699	9.833	29.33
TRANCO	8	7.031	4.409	8.141	3.632	0.2341	4.088	14.41
YG	0.64	0.584	0.6686	0.6292	0.003969	0.1001	0.5031	0.8787
LAT	-43.64	-43.64	-43.64	-43.64	0	0	-43.64	-43.64
WCI	0.3	0.3	0.3	0.3	0	0	0.3	0.3
FWCAD	0.05	0.05	0.05	0.05	0	0	0.05	0.05
FWCWP	0.3	0.2367	0.1392	0.237	0.001875	0.1827	0.1113	0.3658
FWCFC	0.6	0.6571	0.6536	0.6396	0.002299	0.07497	0.4773	0.7875
FWCWET	0.95	0.95	0.95	0.95	0	0	0.95	0.95
WCST	0.55	0.55	0.55	0.55	0	0	0.55	0.55
WpoolMax	50	50	50	50	0	0	50	50
Dparam	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318
FGAS	0.4	0.4	0.4	0.4	0	0	0.4	0.4
FO2MX	0.21	0.21	0.21	0.21	0	0	0.21	0.21
KTSNOW	65	65	65	65	0	0	65	65
Hparam	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592
KRDRANAER	0.2	0.2	0.2	0.2	0	0	0.2	0.2
KRESPHARD	0.01	0.01652	0.02284	0.01401	4.846e-05	0.497	0.001024	0.03819
KRSR3H	1	1	1	1	0	0	1	1
KRTOTAER	2	2	2	2	0	0	2	2
KSNOW	0.035	0.035	0.035	0.035	0	0	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	0	0	172800	172800
LDT50A	1.34	1.34	1.34	1.34	0	0	1.34	1.34
LDT50B	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113
LT50MN	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68
LT50MX	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
RATEDMX	2	2	2	2	0	0	2	2
reHardRedDay	145	145	145	145	0	0	145	145
RHOnewSnow	100	100	100	100	0	0	100	100
RHOpack	0.02	0.02	0.02	0.02	0	0	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0	0	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0	0	0.01	0.01
THARDMX	14.71	14.71	14.71	14.71	0	0	14.71	14.71
TmeltFreeze	0	0	0	0	0	0	0	0
TrainSnow	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TsurfDiff	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228
KLUETILG	0.5	0.545	0.8284	0.4811	0.03073	0.3644	0.05714	0.9675
FRTILGG1I	0	0	0	0	0	0	0	0
DAYLG1G2	0.575	0.575	0.5594	0.5729	5.87e-05	0.01337	0.5528	0.5942
RGRTG1G2	0.1	0.2639	0.05986	0.2044	0.01871	0.6691	0.003074	0.7659
RDRTMIN	0.005	0.002007	0.005244	0.006137	6.271e-06	0.408	0.0001254	0.01307
TVERN	4	5.245	4.412	4.456	0.5664	0.1689	3.015	7.234
TVERND	21	22.06	20.5	21.2	4.401	0.09895	14.34	26.71
RDRSTUB	0.2	0.2	0.2	0.2	0	0	0.2	0.2
LERGB	1.75	1.709	2.193	1.668	0.1946	0.2645	0.4455	2.891
RDRROOT	0.003	0.002832	0.02037	0.008183	3.076e-05	0.6778	0.001005	0.02681
DAYLA	0.5	0.5192	0.524	0.4843	0.0009698	0.0643	0.4019	0.5821
DAYLRV	0.55	0.5485	0.5243	0.543	0.0007343	0.04991	0.4323	0.5979
FCOCRESMN	0.5	0.3689	0.1619	0.3898	0.01493	0.3135	0.126	0.7675
KCRT	10	9.92	16.28	15.7	64.66	0.5121	1.036	42.01
VERNDI	20	21.49	21.69	28.4	239.4	0.5447	0.8695	80.57
LERVA	-1.13	-4.716	-3.308	-3.325	3.019	0.5226	-7.987	2.303
LERVB	0.75	1.043	0.6726	0.8342	0.03669	0.2296	0.406	1.556
LERGA	-8.21	-5.739	-6.038	-6.544	3.487	0.2853	-9.982	0.5858
RDRTILMIN	0.00074	0.0008105	0.001278	0.0008537	8.146e-08	0.3343	0.0001431	0.001822
RDRHARVMAX	0.05	0.04141	0.06017	0.05106	0.0002832	0.3296	0.01434	0.09406
FGRESSI	0.5	0.3493	0.4204	0.4058	0.006869	0.2042	0.2078	0.7283
BD	1.2	1.149	1.268	1.17	0.007559	0.0743	0.9357	1.383
HARVFRD	0.2	0.217	0.1865	0.2072	0.002054	0.2188	0.1047	0.3471
EBIOMAX	131	131	131	131	0	0	131	131
KTIL	3000	2909	3611	2925	533900	0.2498	427.3	4974
RDRWMAX	0	0	0	0	0	0	0	0
BASALI	0.8	0.7707	0.8857	0.7338	0.01452	0.1642	0.4075	0.9932
ABASAL	0.001	0.001179	0.003281	0.001391	4.434e-07	0.4788	1.022e-05	0.003487
TVERNDMN	7	6.883	10.47	7.236	5.665	0.3289	0.5618	13.27
DAYLGEMN	0.5	0.2922	0.3489	0.2938	0.01487	0.4151	0.04222	0.8403
RGRSTUB	0.2	0.2	0.2	0.2	0	0	0.2	0.2
DELE	5e-04	0.0009955	0.0007658	0.0007509	1.092e-07	0.4401	1.892e-05	0.00167
DELD	0.0148	0.1008	0.1165	0.1221	0.0005165	0.1861	0.04556	0.1798
