row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
LOG10CLVI	1.5	1.652	1.524	1.596	0.05295	0.1442	1.004	2.319	1.5	1.427	1.544	1.573	0.06457	0.1615	1.045	2.24	1.5	1.587	2.09	1.713	0.07112	0.1557	1.046	2.472
LOG10CRESI	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5
LOG10CRTI	1.5	1.605	1.579	1.611	0.0476	0.1354	1.068	2.256	1.5	1.511	2.052	1.607	0.04655	0.1343	1.038	2.359	1.5	1.814	2.173	1.794	0.06532	0.1424	1.101	2.418
CSTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG10LAII	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5
PHENI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TILTOTI	5000	4208	3241	4897	715100	0.1727	3154	7548	5000	4036	3929	5135	752000	0.1689	3088	7529	5000	5314	6162	5125	626000	0.1544	3071	7211
FRTILGI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054
COCRESMX	0.275	0.2143	0.2091	0.2178	0.002201	0.2155	0.08546	0.3416	0.275	0.2143	0.2091	0.2178	0.002201	0.2155	0.08546	0.3416	0.275	0.2143	0.2091	0.2178	0.002201	0.2155	0.08546	0.3416
CSTAVM	0.1	0.09323	0.0784	0.1031	0.0008034	0.275	0.02981	0.1856	0.1	0.09323	0.0784	0.1031	0.0008034	0.275	0.02981	0.1856	0.1	0.09323	0.0784	0.1031	0.0008034	0.275	0.02981	0.1856
DAYLB	0.4	0.4056	0.4314	0.3709	0.01022	0.2725	0.0584	0.5884	0.4	0.4056	0.4314	0.3709	0.01022	0.2725	0.0584	0.5884	0.4	0.4056	0.4314	0.3709	0.01022	0.2725	0.0584	0.5884
DAYLP	0.55	0.5218	0.5078	0.5889	0.008655	0.158	0.4179	0.8608	0.55	0.5218	0.5078	0.5889	0.008655	0.158	0.4179	0.8608	0.55	0.5218	0.5078	0.5889	0.008655	0.158	0.4179	0.8608
DLMXGE	0.6	0.6867	0.5723	0.6488	0.00606	0.12	0.4305	0.865	0.6	0.6867	0.5723	0.6488	0.00606	0.12	0.4305	0.865	0.6	0.6867	0.5723	0.6488	0.00606	0.12	0.4305	0.865
FSLAMIN	0.5	0.5296	0.5903	0.5928	0.006421	0.1352	0.4131	0.8674	0.5	0.5296	0.5903	0.5928	0.006421	0.1352	0.4131	0.8674	0.5	0.5296	0.5903	0.5928	0.006421	0.1352	0.4131	0.8674
FSMAX	0.7	0.5062	0.3924	0.5155	0.006407	0.1553	0.3373	0.794	0.7	0.5062	0.3924	0.5155	0.006407	0.1553	0.3373	0.794	0.7	0.5062	0.3924	0.5155	0.006407	0.1553	0.3373	0.794
HAGERE	0.8	0.805	0.7144	0.7829	0.002296	0.0612	0.6404	0.8941	0.8	0.805	0.7144	0.7829	0.002296	0.0612	0.6404	0.8941	0.8	0.805	0.7144	0.7829	0.002296	0.0612	0.6404	0.8941
KLAI	0.6	0.6828	0.8041	0.698	0.007102	0.1207	0.4312	0.8796	0.6	0.6828	0.8041	0.698	0.007102	0.1207	0.4312	0.8796	0.6	0.6828	0.8041	0.698	0.007102	0.1207	0.4312	0.8796
LAICR	4	2.952	2.947	2.756	0.0874	0.1073	2.069	3.822	4	2.952	2.947	2.756	0.0874	0.1073	2.069	3.822	4	2.952	2.947	2.756	0.0874	0.1073	2.069	3.822
LAIEFT	0.183	0.34	0.2821	0.2793	0.002002	0.1602	0.04752	0.3958	0.183	0.34	0.2821	0.2793	0.002002	0.1602	0.04752	0.3958	0.183	0.34	0.2821	0.2793	0.002002	0.1602	0.04752	0.3958
LAITIL	0.951	0.3651	1.031	0.6184	0.08192	0.4628	0.01317	1.594	0.951	0.3651	1.031	0.6184	0.08192	0.4628	0.01317	1.594	0.951	0.3651	1.031	0.6184	0.08192	0.4628	0.01317	1.594
LFWIDG	0.003	0.006562	0.004577	0.004112	1.592e-06	0.3069	0.002041	0.008136	0.003	0.006562	0.004577	0.004112	1.592e-06	0.3069	0.002041	0.008136	0.003	0.006562	0.004577	0.004112	1.592e-06	0.3069	0.002041	0.008136
