row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
LOG10CLVI	1.5	1.56	1.861	1.723	0.04134	0.118	1.1	2.269	1.5	2.148	2.139	1.899	0.04673	0.1139	1.037	2.404	1.5	1.846	2.086	1.827	0.03851	0.1074	1.219	2.339
LOG10CRESI	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5
LOG10CRTI	1.5	1.286	1.367	1.504	0.05557	0.1567	1.011	2.333	1.5	1.871	2.197	1.771	0.07768	0.1574	1.045	2.397	1.5	2.036	1.758	1.673	0.07349	0.1621	1.012	2.396
CSTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG10LAII	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5
PHENI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TILTOTI	5000	3692	3795	4619	642500	0.1735	3061	7388	5000	4737	5235	4635	697200	0.1801	3136	7333	5000	4057	5759	4615	536600	0.1587	3029	7047
FRTILGI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054
COCRESMX	0.275	0.2776	0.2534	0.2403	0.002858	0.2225	0.08575	0.3492	0.275	0.2776	0.2534	0.2403	0.002858	0.2225	0.08575	0.3492	0.275	0.2776	0.2534	0.2403	0.002858	0.2225	0.08575	0.3492
CSTAVM	0.1	0.09505	0.1539	0.1066	0.001009	0.2979	0.02697	0.1903	0.1	0.09505	0.1539	0.1066	0.001009	0.2979	0.02697	0.1903	0.1	0.09505	0.1539	0.1066	0.001009	0.2979	0.02697	0.1903
