row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1
LOG10CLVI	1.5	1.331	2.034	1.6	0.07935	0.1761	1.033	2.364
LOG10CRESI	0.5	0.5	0.5	0.5	0	0	0.5	0.5
LOG10CRTI	1.5	1.672	2.179	1.736	0.06215	0.1436	1.096	2.429
CSTI	0	0	0	0	0	0	0	0
LOG10LAII	0.5	0.5	0.5	0.5	0	0	0.5	0.5
PHENI	0	0	0	0	0	0	0	0
TILTOTI	5000	5571	4395	4966	755600	0.175	3225	7520
FRTILGI	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054
COCRESMX	0.275	0.2219	0.1969	0.2497	0.002855	0.214	0.09467	0.3494
CSTAVM	0.1	0.08311	0.0804	0.09756	0.0008203	0.2936	0.03257	0.1827
DAYLB	0.4	0.4716	0.306	0.3682	0.01055	0.279	0.05548	0.5955
DAYLP	0.55	0.49	0.6296	0.6051	0.0112	0.1749	0.4011	0.8985
DLMXGE	0.6	0.598	0.719	0.6247	0.01233	0.1777	0.4104	0.9643
FSLAMIN	0.5	0.5402	0.75	0.5653	0.006842	0.1463	0.4055	0.8397
FSMAX	0.7	0.5792	0.5982	0.6453	0.006659	0.1265	0.3606	0.7983
HAGERE	0.8	0.7754	0.8317	0.7772	0.002715	0.06704	0.6334	0.887
KLAI	0.6	0.6611	0.6026	0.6111	0.01038	0.1667	0.3332	0.8605
LAICR	4	3.345	3.818	3.68	0.6011	0.2107	2.133	5.651
LAIEFT	0.183	0.1623	0.1966	0.1988	0.005816	0.3837	0.02086	0.3798
LAITIL	0.951	0.04788	0.03605	0.0478	0.0005399	0.4861	0.01077	0.1816
LFWIDG	0.003	0.005069	0.002701	0.003834	1.14e-06	0.2785	0.002006	0.007374
LFWIDV	0.003	0.003103	0.003362	0.003128	2.564e-07	0.1619	0.002059	0.004598
NELLVM	1.3	1.3	1.3	1.3	0	0	1.3	1.3
PHENCR	0.6	0.8245	0.3662	0.5849	0.02065	0.2457	0.2086	0.9473
PHY	100	98.45	74.59	100.6	216.9	0.1464	49.1	128.7
RDRSCO	0.03	0.03167	0.08313	0.04712	0.0006666	0.548	0.01029	0.1278
RDRSMX	0.04	0.0384	0.04677	0.04551	0.0006339	0.5532	0.0003697	0.1402
RDRTEM	0.0015	0.0008448	0.0009425	0.001205	1.156e-07	0.2822	0.000412	0.001974
RGENMX	0.01	0.0145	0.01477	0.01079	1.145e-05	0.3136	0.002398	0.01937
ROOTDM	0.2	0.2481	0.3619	0.2699	0.004156	0.2388	0.1007	0.4572
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	2.63	2.055	3.238	0.7317	0.2642	1.465	7.19
LSHAPE	0.6	0.6	0.6	0.6	0	0	0.6	0.6
SIMAX1T	0.004	0.004242	0.004518	0.003929	5.398e-07	0.187	0.002017	0.005715
