row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1
LOG10CLVI	1.5	1.507	1.665	1.556	0.06117	0.1589	1.008	2.46
LOG10CRESI	0.5	0.5	0.5	0.5	0	0	0.5	0.5
LOG10CRTI	1.5	1.659	1.862	1.673	0.05403	0.139	1.098	2.328
CSTI	0	0	0	0	0	0	0	0
LOG10LAII	0.5	0.5	0.5	0.5	0	0	0.5	0.5
PHENI	0	0	0	0	0	0	0	0
TILTOTI	5000	5684	4791	5098	625300	0.1551	3297	7486
FRTILGI	0	0	0	0	0	0	0	0
LT50I	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
CLAIV	0.7054	0.7054	0.7054	0.7054	0	0	0.7054	0.7054
COCRESMX	0.275	0.2594	0.2339	0.2464	0.002243	0.1922	0.09267	0.346
CSTAVM	0.1	0.09603	0.07691	0.1039	0.0006998	0.2546	0.03124	0.1798
DAYLB	0.4	0.3903	0.4295	0.3707	0.007012	0.2259	0.1014	0.5849
DAYLP	0.55	0.5991	0.6546	0.6084	0.008534	0.1518	0.4035	0.8644
DLMXGE	0.6	0.6599	0.7504	0.6263	0.008795	0.1497	0.4144	0.9137
FSLAMIN	0.5	0.6079	0.602	0.5689	0.005713	0.1329	0.4	0.8329
FSMAX	0.7	0.584	0.5109	0.6572	0.004789	0.1053	0.4369	0.7984
HAGERE	0.8	0.7789	0.7944	0.7845	0.002501	0.06374	0.6359	0.8928
KLAI	0.6	0.6804	0.7265	0.6559	0.008142	0.1376	0.3838	0.8772
LAICR	4	4.349	3.071	4.002	0.4883	0.1746	2.1	5.673
LAIEFT	0.183	0.2205	0.2516	0.2215	0.003819	0.279	0.01143	0.3963
LAITIL	0.951	0.08852	0.08877	0.08068	0.001066	0.4046	0.02184	0.3061
LFWIDG	0.003	0.003236	0.00625	0.00378	1.083e-06	0.2753	0.002008	0.007355
LFWIDV	0.003	0.003796	0.003222	0.00307	2.845e-07	0.1737	0.00205	0.00487
NELLVM	1.3	1.3	1.3	1.3	0	0	1.3	1.3
PHENCR	0.6	0.5418	0.3019	0.6031	0.01785	0.2216	0.2584	0.9729
PHY	100	112.8	85.06	102.5	168.6	0.1267	58.76	128.9
RDRSCO	0.03	0.07057	0.05191	0.04753	0.0004143	0.4282	0.01005	0.1127
RDRSMX	0.04	0.02433	0.09878	0.04695	0.0005315	0.491	0.001586	0.1097
RDRTEM	0.0015	0.001349	0.001035	0.001165	6.074e-08	0.2115	0.0005431	0.001955
RGENMX	0.01	0.01351	0.01462	0.01201	6.607e-06	0.214	0.004432	0.0193
ROOTDM	0.2	0.1711	0.2616	0.2792	0.004878	0.2502	0.1137	0.4959
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	2.732	2.913	2.94	0.3806	0.2099	1.591	5.089
LSHAPE	0.6	0.6	0.6	0.6	0	0	0.6	0.6
